Front;Back;Tags
O que é **Insuficiência**?;O [INDEX de Física](Conhecimento-Geral/Fisica/INDEX.md) é uma listagem básica de tabela que carece de síntese de unificação interpretativa.;conhecimento-geral,conhecimento-geral
O que é **Ação de Expansão**?;Redesenhar o INDEX para demonstrar a transição das premissas clássicas (Mecânica Newtoniana, leis de Maxwell do Eletromagnetismo) para a quebra de localidade imposta pelo Teorema de Bell e as interpretações quânticas (Multiversos de Everett, Colapso de Copenhague, QBism).;conhecimento-geral,conhecimento-geral
O que é **Fórmulas Mandatórias**?;Incluir equações de onda de Schrödinger ($\psi$), desigualdade de incerteza de Heisenberg e entropia estatística de Boltzmann ($S = k_B \ln \Omega$).;conhecimento-geral,conhecimento-geral
O que é **Ondas eletromagnéticas**?;luz em todos os comprimentos de onda;conhecimento-geral,astronomia
O que é **Ondas gravitacionais**?;perturbações no espaço-tempo;conhecimento-geral,astronomia
O que é **Neutrinos**?;partículas quase sem massa;conhecimento-geral,astronomia
O que é **Raios cósmicos**?;partículas de alta energia;conhecimento-geral,astronomia
O que é **VLT (Very Large Telescope)**?;4 × 8.2 m, Chile;conhecimento-geral,astronomia
O que é **Keck**?;2 × 10 m, Havaí;conhecimento-geral,astronomia
O que é **GTC**?;10.4 m, Espanha (La Palma);conhecimento-geral,astronomia
O que é **ELT (Extremely Large Telescope)**?;39.3 m, Chile (2028);conhecimento-geral,astronomia
O que é **GMT (Giant Magellan Telescope)**?;24.5 m, Chile;conhecimento-geral,astronomia
O que é **TMT (Thirty Meter Telescope)**?;30 m, Havaí;conhecimento-geral,astronomia
O que é **Green Bank Telescope**?;100 m, EUA;conhecimento-geral,astronomia
O que é **VLA (Very Large Array)**?;27 antenas de 25 m, Novo México;conhecimento-geral,astronomia
O que é **ALMA (Atacama Large Millimeter/submillimeter Array)**?;66 antenas, Chile;conhecimento-geral,astronomia
O que é **LOFAR (LOw Frequency ARray)**?;Países Baixos;conhecimento-geral,astronomia
O que é **SKA (Square Kilometre Array)**?;África do Sul + Austrália (em construção);conhecimento-geral,astronomia
O que é **JWST (James Webb Space Telescope)**?;6.5 m, órbita L2, 0.6-28.3 µm;conhecimento-geral,astronomia
O que é **WISE/NEOWISE**?;levantamento infravermelho;conhecimento-geral,astronomia
O que é **HESS, MAGIC, VERITAS**?;telescópios Cherenkov terrestres;conhecimento-geral,astronomia
O que é **CTA (Cherenkov Telescope Array)**?;próxima geração;conhecimento-geral,astronomia
O que é **paradoxo da informação**?;dos problemas mais profundos da fisica teorica:;conhecimento-geral,astronomia
O que é **Vírus e Viroides**?;"Não possuem estrutura celular nem metabolismo próprio, mas contêm material genético e evoluem. São considerados """"organismos na fronteira da vida"""".";conhecimento-geral,biologia
O que é **Mitocôndrias e Cloroplastos**?;Possuem DNA próprio e se replicam de forma independente dentro da célula, corroborando a #Teoria Endossimbiótica de Lynn Margulis|Teoria Endossimbiótica.;conhecimento-geral,biologia
O que é **Células Sinciciais**?;"Células musculares e certos fungos possuem múltiplos núcleos, desafiando a noção de """"uma célula, um núcleo"""".";conhecimento-geral,biologia
O que é **Plasmodesmos e Junções Comunicantes**?;Células vegetais e animais são interconectadas, formando um contínuo citoplasmático que questiona o conceito de individualidade celular absoluta.;conhecimento-geral,biologia
O que é **Nucleoide**?;Região citoplasmática onde o DNA circular (geralmente um único cromossomo) está concentrado, sem membrana nuclear envolvendo-o;conhecimento-geral,biologia
O que é **Ribossomos 70S**?;Menores que os eucarióticos (80S), são alvos de antibióticos como tetraciclina e estreptomicina;conhecimento-geral,biologia
O que é **Parede Celular**?;"Presente na maioria, composta por peptidoglicano (bactérias Gram-positivas têm parede espessa; Gram-negativas têm parede fina + membrana externa)";conhecimento-geral,biologia
O que é **Plasmídeos**?;Moléculas de DNA extracromossomal circulares que conferem vantagens adaptativas (resistência a antibióticos, capacidade de degradar substâncias);conhecimento-geral,biologia
O que é **Flagelos**?;Estruturas de locomoção com estrutura filamentar rotatória (única na natureza — um motor biológico nanométrico);conhecimento-geral,biologia
O que é **Fímbrias e Pili**?;Anexos proteicos para adesão e conjugação (transferência horizontal de genes);conhecimento-geral,biologia
O que é **Núcleo verdadeiro**?;DNA linear organizado em múltiplos cromossomos, envolto por envelope nuclear com poros;conhecimento-geral,biologia
O que é **Compartimentalização**?;Presença de organelas membranosas que criam microambientes especializados;conhecimento-geral,biologia
O que é **Citoplasma estruturado**?;Citoesqueleto de filamentos de actina, microtúbulos e filamentos intermediários;conhecimento-geral,biologia
O que é **Sistema de endomembranas**?;Retículo endoplasmático, Complexo de Golgi, lisossomos, vesículas;conhecimento-geral,biologia
O que é **Mitocôndrias e (em plantas) Cloroplastos**?;Organelas semiautônomas com DNA próprio;conhecimento-geral,biologia
O que é **Ribossomos 80S**?;Maiores que os procarióticos;conhecimento-geral,biologia
O que é **Difusão simples**?;moléculas pequenas apolares (O₂, CO₂) atravessam diretamente a bicamada;conhecimento-geral,biologia
