Front;Back;Tags
O que significa a sigla SHAP?;SHAP significa SHapley Additive exPlanations. É um método de explicabilidade baseado em teoria dos jogos cooperativos que atribui a cada feature uma contribuição para a predição.;xai,shap
Qual a base teórica do SHAP?;O SHAP fundamenta-se nos valores de Shapley da teoria dos jogos cooperativos (Shapley, 1953). Cada feature é um "jogador" que contribui para a "recompensa" (predição). O valor de Shapley é a média da contribuição marginal sobre todas as possíveis ordenações das features.;xai,shap
Quais são as 4 propriedades desejáveis que o SHAP satisfaz (único método que as satisfaz todas)?;1) Eficiência: soma dos SHAP values + valor base = predição. 2) Simetria: se duas features contribuem igualmente, SHAP values são iguais. 3) Dummy: se feature não altera predição, SHAP value = 0. 4) Aditividade: SHAP values de ensemble são a soma dos SHAP values dos modelos base.;xai,shap
Explique a propriedade de Eficiência do SHAP.;A propriedade de Eficiência (Efficiency) diz que a soma dos SHAP values de todas as features mais o valor base (expected value) é igual à predição final do modelo. Isso garante que a explicação é completa e consistente.;xai,shap
Quais são os 4 tipos de SHAP Explainer e para que serve cada um?;1) TreeExplainer: para modelos baseados em árvores (rápido, exato). 2) KernelExplainer: model-agnostic (genérico, lento). 3) DeepExplainer: para redes neurais (aproximado via DeepLIFT). 4) LinearExplainer: para modelos lineares.;xai,shap
O que o Summary Plot do SHAP mostra e como interpretá-lo?;O Summary Plot (beeswarm) mostra a distribuição dos SHAP values para cada feature em todas as amostras. Cada ponto é uma amostra; posição X = impacto na predição; cor = valor da feature (vermelho = alto, azul = baixo). Features são ordenadas por importância (maior dispersão horizontal).;xai,shap
O que o Waterfall Plot do SHAP mostra?;O Waterfall Plot mostra uma explicação local (instância específica). E[f(X)] = valor base. Barras vermelhas: features que aumentam a probabilidade. Barras azuis: features que diminuem. A soma das contribuições + valor base = probabilidade final.;xai,shap
O que o Dependence Plot do SHAP revela?;O Dependence Plot mostra a relação entre o valor de uma feature (eixo X) e seu SHAP value (eixo Y). Dispersão vertical indica interação com outra feature. A cor revela qual feature interage. Útil para detectar não-linearidades e interações.;xai,shap
O que o Force Plot do SHAP visualiza?;O Force Plot mostra como cada feature "empurra" a predição do valor base para o valor predito. Features em vermelho empurram para cima (aumentam a probabilidade); features em azul empurram para baixo (diminuem).;xai,shap
Qual a complexidade computacional do KernelExplainer do SHAP?;O KernelExplainer do SHAP tem complexidade O(2^n_features), tornando-o inviável para modelos com muitas features. Por isso recomenda-se usar background reduzido com k-means ou amostragem.;xai,shap
